id,agent_display,date_display,title_display,full size,medium web,screen presentation
null,AACHEN-H-von,-,Portrait-of-Emperor-Rudolph-II,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=p6FMkIBafCQ=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=bIR17FMjzM4=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=IlPNUIo8sUE=
null,ABATE-N-dell,1552-55,Man-with-a-Parrot,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=DSFcmCPpK40=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=hJg3EIpFv4g=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=bnpn9casL64=
null,ABATE-N-dell,1552-71,The-Death-of-Eurydice,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=n8SKfqbpqBI=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=HL-WyZsHHmw=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=ZXIU-Pwn0Mk=
null,ABBEY-E-A,1896,Richard-Duke-of-Gloucester-and-the-Lady-Anne,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=Zu-w831ZZBg=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=BKGy88tEwPs=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=4cfSLrWVPv0=
null,ABBEY-E-A,1900,The-Penance-of-Eleanor-Duchess-of-Gloucester,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=wrbp7Fu5C0k=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=8qMrHcZc7AY=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=7NWd5IVvetE=
null,ABBEY-E-A,1902,Goneril-and-Regan,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=zvKPhDD9qUA=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=wJF1QxN9h_g=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=4z6pTKSYPpw=
null,Abdul-Hadi-El-Gazzar,1958,The-Light-from-Within-the-Green,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=kn0RfpPDGjE=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=CkLDtgq70_o=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=Tnj9vaOidIU=
null,Abdul-Qader-Al-Rais,1970,Untitled,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=CdxRH_7PZjQ=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=lDDMaJQ_z-E=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=h8x309QWKCU=
null,ABILDGAARD-N-A,1800,Minotaur,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=cTE8NDdJUUk=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=PdzN9nn3H8k=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=JHVQdYirzTU=
null,ABRAHAMS-I,Exhibited RA 2003,Gymnast,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=6NnebpcRFIE=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=V31iYUIMR9o=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=Hjj5-mGnj10=
