id,agent_display,date_display,title_display,full size,medium web,screen presentation
431-38,canaletto,1736,the-riva-degli-schiavoni-towards-st-marks,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=GKb3BLiuBHY=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=boigb3V68So=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=1g4t_TSafFw=
437-93,caravaggio-m-m-da,1596,basket-of-fruit,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=AXbxNigU-3Y=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=i5FNfhJQMOE=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=0tb30okcHUs=
437-80,caravaggio-m-m-da,1598-99,narcissus,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=yp6IRtRwjpw=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=LK7FzO9Y6dU=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=71Wu6ivEp5c=
437-9,caravaggio-m-m-da,1594-96,the-fortune-teller,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=7rKE7ni-554=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=_fKAD7kj4Wk=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=mFLS7fS9Wt0=
437-88,caravaggio-m-m-da,1594,the-fortune-teller-detail-of-hands-on-left,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=w9ObZklRg7U=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=lwMeB4ZwAc4=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=kal-dqjNKpM=
437-91,caravaggio-m-m-da,1594,the-fortune-teller,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=KZYXE-DjFX4=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=8-FBXZLKrh4=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=UXPIDP5NZJ8=
2377-587,rembrandt,1628-30,a-man-in-a-room-reading,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=AW1_K3VzD3k=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=AzjGi_GnpRI=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=jhtbDBZxY3A=
2377-65,rembrandt,1646,the-adoration-of-the-shepherds,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=ib37GvkaqFk=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=IUKe-nc4AFQ=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=vcJX-fMlipI=
2377-297,rembrandt,1646,adoration-of-the-shepherds,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=pJ4wo2_7GAY=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=IoL60GwKHzE=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=aLBJ1usPJ9g=
2377-364,rembrandt,1646,the-adoration-of-the-shepherds,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=FCkOrZyvWfc=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=Wb5mgZ3ZHWM=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=u7823XLDMMI=
2377-29,rembrandt,1630-31,andromeda,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=EUIJz6jb_I8=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=g45XhJ05Udc=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=NaTb0T7-TPk=
