id,agent_display,date_display,title_display,full size,medium web,screen presentation
null,after-titian,nan,head-of-girl,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=6sD8tR9BdFk=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=XbPWl3C3-nE=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=a1OoI8VwmW4=
null,altichiero-after,late 14th.c.,troops-entering-a-city,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=WJb0m-S7QTQ=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=xmBybKginSA=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=LEhEqfzBg_U=
null,anon,nan,view-of-the-rua-nova-do-mercadores-rua-nova-dos-ferros-with-a-corner-view-of-the-largo-do-pelourinho-velho,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=KRv310q1DmE=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=dvGPx2D8KmM=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=IKiO4kiRk78=
null,anon,1570-1619,view-of-the-rua-nova-do-mercadores-from-the-arco-dos-barretes-to-the-arco-dos-pregos,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=2LT4sf8oyPg=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=jlDlY_bV7tw=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=gJNmWNn09po=
null,anon,16th-17th century,portable-altarpiece,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=pgfbqXrlX1A=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=SZTgne36fao=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=43k3aAtMgNM=
null,anon,1423,buxheim-st-christopher,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=6V_J0Uq0_8E=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=g6Dv48dg-uQ=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=kspNbCHYtc8=
null,anon,15th.c,nativity,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=H5_N1k5DwpY=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=L7tYExjBgXM=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=F3va1frPuI8=
null,anon,1425-50,virgin-and-child,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=iI-lWfEFAm8=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=khONiS_X9O8=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=K3tLpseuFag=
null,anon,-,st-francis-preaching-to-the-birds-detail,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=-Yga0OZuJi0=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=tX1VH3fbpgg=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=hTC99oVEmds=
null,anon,13th c,crucifix-detail-of-christs-head,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=G0_QovEuric=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=yIL4mBvBRLQ=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=oZdXL9NU60o=
null,anon,13th.c.,crucifix,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=KzOpBODyvic=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=E8cZxKLS0qU=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=u1lW1tTzI1Y=
null,anon,1250,crucifixion-showing-6-patches-of-intonaco,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=08_bGuHxRZo=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=q0h6hNsKmmM=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=anwcaZYMfow=
null,anon,12th c.,crucifix,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=5IDHFEkLIrE=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=2Cj5-ge7LJA=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=_Qsuz614E_4=
null,anon,-,coburgensis-f-32-drawing-of-medea-and-children-from-the-medea-sarcophagus-roman-now-largely-lost,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=ujhKefi0fBk=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=AiITITNVMpc=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=FccXFFjNDog=
null,anon,-,crucifixion,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=io2lxqygCr0=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=9L3TcG8sgbQ=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=FEYIxRzWjzU=
