id,path,label,class_name
1-1,..\wikipaintings_small\wikipaintings_train\Abstract_Art\adnan-coker_composition.jpg,0,Abstract_Art
1-2,..\wikipaintings_small\wikipaintings_train\Abstract_Art\adnan-coker_er-eveler-1999.jpg,0,Abstract_Art
1-3,..\wikipaintings_small\wikipaintings_train\Abstract_Art\adnan-coker_reconstruction-ii-1992.jpg,0,Abstract_Art
1-4,..\wikipaintings_small\wikipaintings_train\Abstract_Art\adnan-coker_the-domes-1993.jpg,0,Abstract_Art
1-5,..\wikipaintings_small\wikipaintings_train\Abstract_Art\adnan-coker_unknown-title-12.jpg,0,Abstract_Art
1-6,..\wikipaintings_small\wikipaintings_train\Abstract_Art\adnan-coker_unknown-title-13.jpg,0,Abstract_Art
1-7,..\wikipaintings_small\wikipaintings_train\Abstract_Art\adnan-coker_unknown-title-14.jpg,0,Abstract_Art
1-8,..\wikipaintings_small\wikipaintings_train\Abstract_Art\adnan-coker_unknown-title-15.jpg,0,Abstract_Art
1-9,..\wikipaintings_small\wikipaintings_train\Abstract_Art\adnan-coker_unknown-title-16.jpg,0,Abstract_Art
1-10,..\wikipaintings_small\wikipaintings_train\Abstract_Art\adnan-coker_unknown-title-17.jpg,0,Abstract_Art
2-1,..\wikipaintings_small\wikipaintings_train\Abstract_Expressionism\aaron-siskind_acolman-1-1955.jpg,1,Abstract_Expressionism
2-2,..\wikipaintings_small\wikipaintings_train\Abstract_Expressionism\aaron-siskind_chicago-1951.jpg,1,Abstract_Expressionism
2-3,..\wikipaintings_small\wikipaintings_train\Abstract_Expressionism\aaron-siskind_chicago-6-1961.jpg,1,Abstract_Expressionism
2-4,..\wikipaintings_small\wikipaintings_train\Abstract_Expressionism\aaron-siskind_jerome-arizona-1949.jpg,1,Abstract_Expressionism
2-5,..\wikipaintings_small\wikipaintings_train\Abstract_Expressionism\aaron-siskind_new-york-1951.jpg,1,Abstract_Expressionism
2-6,..\wikipaintings_small\wikipaintings_train\Abstract_Expressionism\aaron-siskind_new-york-2-1948.jpg,1,Abstract_Expressionism
2-7,..\wikipaintings_small\wikipaintings_train\Abstract_Expressionism\aaron-siskind_new-york-40-1986.jpg,1,Abstract_Expressionism
2-8,..\wikipaintings_small\wikipaintings_train\Abstract_Expressionism\aaron-siskind_new-york-city-w-1-1947.jpg,1,Abstract_Expressionism
2-9,..\wikipaintings_small\wikipaintings_train\Abstract_Expressionism\aaron-siskind_providence-92-1986.jpg,1,Abstract_Expressionism
2-10,..\wikipaintings_small\wikipaintings_train\Abstract_Expressionism\aaron-siskind_recife-olinda-8-1968.jpg,1,Abstract_Expressionism
3-1,..\wikipaintings_small\wikipaintings_train\Art_Informel\afro_composition-1957.jpg,2,Art_Informel
3-2,..\wikipaintings_small\wikipaintings_train\Art_Informel\afro_composition-1965.jpg,2,Art_Informel
3-3,..\wikipaintings_small\wikipaintings_train\Art_Informel\afro_composition-1968.jpg,2,Art_Informel
3-4,..\wikipaintings_small\wikipaintings_train\Art_Informel\afro_composizione-arancione-1966.jpg,2,Art_Informel
3-5,..\wikipaintings_small\wikipaintings_train\Art_Informel\afro_composizione-astratta.jpg,2,Art_Informel
3-6,..\wikipaintings_small\wikipaintings_train\Art_Informel\afro_figure.jpg,2,Art_Informel
3-7,..\wikipaintings_small\wikipaintings_train\Art_Informel\afro_l-approdo-1963.jpg,2,Art_Informel
3-8,..\wikipaintings_small\wikipaintings_train\Art_Informel\afro_la-clessidra.jpg,2,Art_Informel
3-9,..\wikipaintings_small\wikipaintings_train\Art_Informel\afro_la-sella-1967.jpg,2,Art_Informel
3-10,..\wikipaintings_small\wikipaintings_train\Art_Informel\afro_merida-1967.jpg,2,Art_Informel
4-1,..\wikipaintings_small\wikipaintings_train\Art_Nouveau_(Modern)\akseli-gallen-kallela_ilmarinen-ploughing-the-viper-field-and-the-defense-of-the-sampo-1928.jpg,3,Art_Nouveau_(Modern)
